"Source Url","Url","Column 4","Column 5","Column 6","Column 7","Column 8","Column 9","Column 10","Column 11","Column 12","Column 13","Column 14","Column 15","Column 16","Column 17","Column 18","Column 19","Column 20","Column 21","Column 22","Column 23","Column 24","Column 25","Column 26","Column 27","Column 28"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2013","","טבלת הליגה 2012-13","","","","","","","","","","","","","","","","","","","","","","","",""
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2013","","","שם הקבוצה","נק","סה""כ","סה""כ","סה""כ","סה""כ","סה""כ","סה""כ","סה""כ","סה""כ","בית","בית","בית","בית","בית","בית","בית","חוץ","חוץ","חוץ","חוץ","חוץ","חוץ","חוץ"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2013","","","שם הקבוצה","נק","משחקים","משחקים","משחקים","סלים","סלים","סלים","ממוצעים","ממוצעים","משחקים","משחקים","משחקים","סלים","סלים","ממוצעים","ממוצעים","משחקים","משחקים","משחקים","סלים","סלים","ממוצעים","ממוצעים"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2013","","","שם הקבוצה","נק","מש","נצ","הפ","זכות","חובה","+/-","זכות","חובה","מש","נצ","הפ","זכות","חובה","זכות","חובה","מש''","נצ","הפ","זכות","חובה","זכות","חובה"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2013","http://www.basket.co.il/TeamPage.asp?TeamId=840&cYear=2013","1","מכבי ת""א","49","27","22","5","2279","1917","+362","84.4","71","14","11","3","1177","1012","84.1","72.3","13","11","2","1102","905","84.8","69.6"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2013","http://www.basket.co.il/TeamPage.asp?TeamId=848&cYear=2013","2","מכבי בזן חיפה","44","27","17","10","2224","2150","+74","82.4","79.6","14","11","3","1184","1118","84.6","79.9","13","6","7","1040","1032","80","79.4"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2013","http://www.basket.co.il/TeamPage.asp?TeamId=850&cYear=2013","3","פתאל אילת","44","27","17","10","2160","2059","+101","80","76.3","14","11","3","1108","1027","79.1","73.4","13","6","7","1052","1032","80.9","79.4"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2013","http://www.basket.co.il/TeamPage.asp?TeamId=847&cYear=2013","4","גרינטופס נתניה","42","27","15","12","2095","2065","+30","77.6","76.5","13","8","5","1045","998","80.4","76.8","14","7","7","1050","1067","75","76.2"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2013","http://www.basket.co.il/TeamPage.asp?TeamId=842&cYear=2013","5","מגדל י-ם","40","27","13","14","2226","2204","+22","82.4","81.6","13","6","7","1078","1082","82.9","83.2","14","7","7","1148","1122","82","80.1"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2013","http://www.basket.co.il/TeamPage.asp?TeamId=844&cYear=2013","6","פנדור ראשל""צ","39","27","12","15","2112","2145","-33","78.2","79.4","13","4","9","978","1045","75.2","80.4","14","8","6","1134","1100","81","78.6"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2013","http://www.basket.co.il/TeamPage.asp?TeamId=841&cYear=2013","7","גלבוע גליל","41","27","14","13","2125","2137","-12","78.7","79.1","14","8","6","1142","1108","81.6","79.1","13","6","7","983","1029","75.6","79.2"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2013","http://www.basket.co.il/TeamPage.asp?TeamId=851&cYear=2013","8","הפועל SP ת""א","40","27","13","14","1981","2027","-46","73.4","75.1","14","6","8","1033","1064","73.8","76","13","7","6","948","963","72.9","74.1"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2013","http://www.basket.co.il/TeamPage.asp?TeamId=846&cYear=2013","9","יונט חולון","39","27","12","15","2127","2144","-17","78.8","79.4","14","6","8","1087","1083","77.6","77.4","13","6","7","1040","1061","80","81.6"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2013","http://www.basket.co.il/TeamPage.asp?TeamId=845&cYear=2013","10","מכבי אשדוד","38","27","11","16","2202","2300","-98","81.6","85.2","13","6","7","1075","1097","82.7","84.4","14","5","9","1127","1203","80.5","85.9"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2013","http://www.basket.co.il/TeamPage.asp?TeamId=843&cYear=2013","11","בני הרצליה","37","27","10","17","2210","2356","-146","81.9","87.3","13","5","8","1075","1135","82.7","87.3","14","5","9","1135","1221","81.1","87.2"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2013","http://www.basket.co.il/TeamPage.asp?TeamId=849&cYear=2013","12","אליצור אשקלון","33","27","6","21","2094","2331","-237","77.6","86.3","13","4","9","1004","1080","77.2","83.1","14","2","12","1090","1251","77.9","89.4"
