"Source Url","Url","Column 4","Column 5","Column 6","Column 7","Column 8","Column 9","Column 10","Column 11","Column 12","Column 13","Column 14","Column 15","Column 16","Column 17","Column 18","Column 19","Column 20","Column 21","Column 22","Column 23","Column 24","Column 25","Column 26","Column 27","Column 28"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2014","","טבלת הליגה 2013-14","","","","","","","","","","","","","","","","","","","","","","","",""
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2014","","","שם הקבוצה","נק","סה""כ","סה""כ","סה""כ","סה""כ","סה""כ","סה""כ","סה""כ","סה""כ","בית","בית","בית","בית","בית","בית","בית","חוץ","חוץ","חוץ","חוץ","חוץ","חוץ","חוץ"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2014","","","שם הקבוצה","נק","משחקים","משחקים","משחקים","סלים","סלים","סלים","ממוצעים","ממוצעים","משחקים","משחקים","משחקים","סלים","סלים","ממוצעים","ממוצעים","משחקים","משחקים","משחקים","סלים","סלים","ממוצעים","ממוצעים"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2014","","","שם הקבוצה","נק","מש","נצ","הפ","זכות","חובה","+/-","זכות","חובה","מש","נצ","הפ","זכות","חובה","זכות","חובה","מש''","נצ","הפ","זכות","חובה","זכות","חובה"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2014","http://www.basket.co.il/TeamPage.asp?TeamId=878&cYear=2014","1","מכבי אלקטרה","50","28","22","6","2275","2089","+186","81.2","74.6","14","13","1","1171","1018","83.6","72.7","14","9","5","1104","1071","78.9","76.5"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2014","http://www.basket.co.il/TeamPage.asp?TeamId=880&cYear=2014","2","מגדל י-ם","49","28","21","7","2328","2162","+166","83.1","77.2","14","11","3","1245","1111","88.9","79.4","14","10","4","1083","1051","77.4","75.1"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2014","http://www.basket.co.il/TeamPage.asp?TeamId=886&cYear=2014","3","מכבי בזן חיפה","46","28","18","10","2290","2167","+123","81.8","77.4","14","10","4","1169","1084","83.5","77.4","14","8","6","1121","1083","80.1","77.4"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2014","http://www.basket.co.il/TeamPage.asp?TeamId=889&cYear=2014","4","הפועל SP ת""א","43","28","15","13","2202","2206","-4","78.6","78.8","14","9","5","1104","1060","78.9","75.7","14","6","8","1098","1146","78.4","81.9"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2014","http://www.basket.co.il/TeamPage.asp?TeamId=888&cYear=2014","5","פתאל אילת","47","29","18","11","2308","2261","+47","79.6","78","15","11","4","1204","1152","80.3","76.8","14","7","7","1104","1109","78.9","79.2"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2014","http://www.basket.co.il/TeamPage.asp?TeamId=887&cYear=2014","6","נס ציונה","45","29","16","13","2344","2295","+49","80.8","79.1","15","10","5","1184","1102","78.9","73.5","14","6","8","1160","1193","82.9","85.2"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2014","http://www.basket.co.il/TeamPage.asp?TeamId=884&cYear=2014","7","יונט חולון","44","29","15","14","2290","2206","+84","79","76.1","15","8","7","1180","1131","78.7","75.4","14","7","7","1110","1075","79.3","76.8"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2014","http://www.basket.co.il/TeamPage.asp?TeamId=879&cYear=2014","8","גלבוע גליל","43","29","14","15","2187","2205","-18","75.4","76","15","8","7","1150","1152","76.7","76.8","14","6","8","1037","1053","74.1","75.2"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2014","http://www.basket.co.il/TeamPage.asp?TeamId=885&cYear=2014","9","גרינטופס נתניה","38","29","9","20","2140","2352","-212","73.8","81.1","14","6","8","1085","1145","77.5","81.8","15","3","12","1055","1207","70.3","80.5"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2014","http://www.basket.co.il/TeamPage.asp?TeamId=882&cYear=2014","10","פנדור ראשל""צ","38","29","9","20","2153","2314","-161","74.2","79.8","14","5","9","1045","1134","74.6","81","15","4","11","1108","1180","73.9","78.7"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2014","http://www.basket.co.il/TeamPage.asp?TeamId=881&cYear=2014","11","בני הרצליה","37","29","8","21","2296","2366","-70","79.2","81.6","14","6","8","1071","1091","76.5","77.9","15","2","13","1225","1275","81.7","85"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2014","http://www.basket.co.il/TeamPage.asp?TeamId=883&cYear=2014","12","SCE אשדוד","36","29","7","22","2214","2404","-190","76.3","82.9","14","3","11","1074","1165","76.7","83.2","15","4","11","1140","1239","76","82.6"
