"Source Url","Url","Column 4","Column 5","Column 6","Column 7","Column 8","Column 9","Column 10","Column 11","Column 12","Column 13","Column 14","Column 15","Column 16","Column 17","Column 18","Column 19","Column 20","Column 21","Column 22","Column 23","Column 24","Column 25","Column 26","Column 27","Column 28"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2009","","טבלת הליגה 2008-09","","","","","","","","","","","","","","","","","","","","","","","",""
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2009","","","שם הקבוצה","נק","סה""כ","סה""כ","סה""כ","סה""כ","סה""כ","סה""כ","סה""כ","סה""כ","בית","בית","בית","בית","בית","בית","בית","חוץ","חוץ","חוץ","חוץ","חוץ","חוץ","חוץ"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2009","","","שם הקבוצה","נק","משחקים","משחקים","משחקים","סלים","סלים","סלים","ממוצעים","ממוצעים","משחקים","משחקים","משחקים","סלים","סלים","ממוצעים","ממוצעים","משחקים","משחקים","משחקים","סלים","סלים","ממוצעים","ממוצעים"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2009","","","שם הקבוצה","נק","מש","נצ","הפ","זכות","חובה","+/-","זכות","חובה","מש","נצ","הפ","זכות","חובה","זכות","חובה","מש''","נצ","הפ","זכות","חובה","זכות","חובה"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2009","http://www.basket.co.il/TeamPage.asp?TeamId=68&cYear=2009","1","מכבי ת""א","41","22","19","3","2002","1659","+343","91","75.4","11","11","0","1029","832","93.5","75.6","11","8","3","973","827","88.5","75.2"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2009","http://www.basket.co.il/TeamPage.asp?TeamId=69&cYear=2009","2","הפועל י-ם","39","22","17","5","1962","1828","+134","89.2","83.1","11","11","0","1038","913","94.4","83","11","6","5","924","915","84","83.2"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2009","http://www.basket.co.il/TeamPage.asp?TeamId=73&cYear=2009","3","מכבי חיפה","36","22","14","8","1734","1650","+84","78.8","75","11","7","4","858","810","78","73.6","11","7","4","876","840","79.6","76.4"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2009","http://www.basket.co.il/TeamPage.asp?TeamId=70&cYear=2009","4","גלבוע גליל","35","22","13","9","1728","1672","+56","78.5","76","11","7","4","868","836","78.9","76","11","6","5","860","836","78.2","76"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2009","http://www.basket.co.il/TeamPage.asp?TeamId=75&cYear=2009","5","הפועל חולון","35","22","13","9","1811","1764","+47","82.3","80.2","11","7","4","939","889","85.4","80.8","11","6","5","872","875","79.3","79.5"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2009","http://www.basket.co.il/TeamPage.asp?TeamId=76&cYear=2009","6","בני השרון","35","22","13","9","1713","1696","+17","77.9","77.1","11","8","3","914","861","83.1","78.3","11","5","6","799","835","72.6","75.9"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2009","http://www.basket.co.il/TeamPage.asp?TeamId=71&cYear=2009","7","נהריה","32","22","10","12","1789","1740","+49","81.3","79.1","11","5","6","891","857","81","77.9","11","5","6","898","883","81.6","80.3"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2009","http://www.basket.co.il/TeamPage.asp?TeamId=74&cYear=2009","8","אשקלון","30","22","8","14","1769","1797","-28","80.4","81.7","11","5","6","908","917","82.5","83.4","11","3","8","861","880","78.3","80"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2009","http://www.basket.co.il/TeamPage.asp?TeamId=77&cYear=2009","9","עירוני ר""ג","30","22","8","14","1707","1861","-154","77.6","84.6","11","4","7","831","894","75.5","81.3","11","4","7","876","967","79.6","87.9"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2009","http://www.basket.co.il/TeamPage.asp?TeamId=78&cYear=2009","10","ג. שמואל","29","22","7","15","1706","1788","-82","77.5","81.3","11","4","7","844","871","76.7","79.2","11","3","8","862","917","78.4","83.4"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2009","http://www.basket.co.il/TeamPage.asp?TeamId=72&cYear=2009","11","ראשל""צ","29","22","7","15","1769","1903","-134","80.4","86.5","11","3","8","855","911","77.7","82.8","11","4","7","914","992","83.1","90.2"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2009","http://www.basket.co.il/TeamPage.asp?TeamId=79&cYear=2009","12","קרית אתא","25","22","3","19","1688","2020","-332","76.7","91.8","11","3","8","827","985","75.2","89.5","11","0","11","861","1035","78.3","94.1"
