"Source Url","Url","Column 4","Column 5","Column 6","Column 7","Column 8","Column 9","Column 10","Column 11","Column 12","Column 13","Column 14","Column 15","Column 16","Column 17","Column 18","Column 19","Column 20","Column 21","Column 22","Column 23","Column 24","Column 25","Column 26","Column 27","Column 28"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2011","","טבלת הליגה 2010-11","","","","","","","","","","","","","","","","","","","","","","","",""
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2011","","","שם הקבוצה","נק","סה""כ","סה""כ","סה""כ","סה""כ","סה""כ","סה""כ","סה""כ","סה""כ","בית","בית","בית","בית","בית","בית","בית","חוץ","חוץ","חוץ","חוץ","חוץ","חוץ","חוץ"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2011","","","שם הקבוצה","נק","משחקים","משחקים","משחקים","סלים","סלים","סלים","ממוצעים","ממוצעים","משחקים","משחקים","משחקים","סלים","סלים","ממוצעים","ממוצעים","משחקים","משחקים","משחקים","סלים","סלים","ממוצעים","ממוצעים"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2011","","","שם הקבוצה","נק","מש","נצ","הפ","זכות","חובה","+/-","זכות","חובה","מש","נצ","הפ","זכות","חובה","זכות","חובה","מש''","נצ","הפ","זכות","חובה","זכות","חובה"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2011","","1","מכבי ת""א","53","27","26","1","2523","2014","+509","93.4","74.6","14","13","1","1322","1039","94.4","74.2","13","13","0","1201","975","92.4","75"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2011","","2","גלבוע גליל","44","27","17","10","2177","2126","+51","80.6","78.7","14","8","6","1072","1041","76.6","74.4","13","9","4","1105","1085","85","83.5"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2011","","3","הפועל י-ם","43","27","16","11","2272","2220","+52","84.1","82.2","14","10","4","1281","1155","91.5","82.5","13","6","7","991","1065","76.2","81.9"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2011","","4","בני השרון","43","27","16","11","2275","2229","+46","84.3","82.6","14","9","5","1191","1167","85.1","83.4","13","7","6","1084","1062","83.4","81.7"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2011","","5","מכבי ראשלצ","40","27","13","14","2131","2215","-84","78.9","82","14","7","7","1083","1120","77.4","80","13","6","7","1048","1095","80.6","84.2"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2011","","6","מכבי אשדוד","40","27","13","14","2216","2243","-27","82.1","83.1","13","6","7","1060","1101","81.5","84.7","14","7","7","1156","1142","82.6","81.6"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2011","","7","הפועל חולון","38","27","11","16","2056","2198","-142","76.1","81.4","13","6","7","998","1040","76.8","80","14","5","9","1058","1158","75.6","82.7"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2011","","8","ברק נתניה","36","27","9","18","2087","2206","-119","77.3","81.7","13","7","6","1054","992","81.1","76.3","14","2","12","1033","1214","73.8","86.7"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2011","","9","מכבי חיפה","35","27","8","19","2212","2303","-91","81.9","85.3","13","6","7","1065","1062","81.9","81.7","14","2","12","1147","1241","81.9","88.6"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2011","","10","אלדן אשקלון","33","27","6","21","2106","2301","-195","78","85.2","13","2","11","1064","1148","81.8","88.3","14","4","10","1042","1153","74.4","82.4"
