"Source Url","Url","Column 4","Column 5","Column 6","Column 7","Column 8","Column 9","Column 10","Column 11","Column 12","Column 13","Column 14","Column 15","Column 16","Column 17","Column 18","Column 19","Column 20","Column 21","Column 22","Column 23","Column 24","Column 25","Column 26","Column 27","Column 28"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2010","","טבלת הליגה 2009-10","","","","","","","","","","","","","","","","","","","","","","","",""
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2010","","","שם הקבוצה","נק","סה""כ","סה""כ","סה""כ","סה""כ","סה""כ","סה""כ","סה""כ","סה""כ","בית","בית","בית","בית","בית","בית","בית","חוץ","חוץ","חוץ","חוץ","חוץ","חוץ","חוץ"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2010","","","שם הקבוצה","נק","משחקים","משחקים","משחקים","סלים","סלים","סלים","ממוצעים","ממוצעים","משחקים","משחקים","משחקים","סלים","סלים","ממוצעים","ממוצעים","משחקים","משחקים","משחקים","סלים","סלים","ממוצעים","ממוצעים"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2010","","","שם הקבוצה","נק","מש","נצ","הפ","זכות","חובה","+/-","זכות","חובה","מש","נצ","הפ","זכות","חובה","זכות","חובה","מש''","נצ","הפ","זכות","חובה","זכות","חובה"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2010","http://www.basket.co.il/TeamPage.asp?TeamId=744&cYear=2010","1","מכבי ת""א","43","22","21","1","2075","1692","+383","94.3","76.9","11","11","0","1050","811","95.5","73.7","11","10","1","1025","881","93.2","80.1"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2010","http://www.basket.co.il/TeamPage.asp?TeamId=745&cYear=2010","2","הפועל י-ם","36","22","14","8","1913","1827","+86","87","83","11","6","5","997","923","90.6","83.9","11","8","3","916","904","83.3","82.2"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2010","http://www.basket.co.il/TeamPage.asp?TeamId=748&cYear=2010","3","גלבוע גליל","36","22","14","8","1842","1717","+125","83.7","78","11","9","2","952","847","86.5","77","11","5","6","890","870","80.9","79.1"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2010","http://www.basket.co.il/TeamPage.asp?TeamId=746&cYear=2010","4","מכבי חיפה","36","22","14","8","1758","1649","+109","79.9","75","11","8","3","877","793","79.7","72.1","11","6","5","881","856","80.1","77.8"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2010","http://www.basket.co.il/TeamPage.asp?TeamId=754&cYear=2010","5","ברק נתניה","35","22","13","9","1795","1831","-36","81.6","83.2","11","9","2","947","913","86.1","83","11","4","7","848","918","77.1","83.5"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2010","http://www.basket.co.il/TeamPage.asp?TeamId=751&cYear=2010","6","אשקלון","33","22","11","11","1753","1784","-31","79.7","81.1","11","7","4","905","878","82.3","79.8","11","4","7","848","906","77.1","82.4"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2010","http://www.basket.co.il/TeamPage.asp?TeamId=753&cYear=2010","7","ראשל""צ","32","22","10","12","1758","1796","-38","79.9","81.6","11","6","5","880","861","80","78.3","11","4","7","878","935","79.8","85"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2010","http://www.basket.co.il/TeamPage.asp?TeamId=749&cYear=2010","8","בני השרון","31","22","9","13","1712","1705","+7","77.8","77.5","11","7","4","851","808","77.4","73.5","11","2","9","861","897","78.3","81.5"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2010","http://www.basket.co.il/TeamPage.asp?TeamId=750&cYear=2010","9","נהריה","29","22","7","15","1672","1779","-107","76","80.9","11","5","6","874","892","79.5","81.1","11","2","9","798","887","72.5","80.6"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2010","http://www.basket.co.il/TeamPage.asp?TeamId=755&cYear=2010","10","ה. עפולה","29","22","7","15","1811","1979","-168","82.3","90","11","4","7","945","973","85.9","88.5","11","3","8","866","1006","78.7","91.5"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2010","http://www.basket.co.il/TeamPage.asp?TeamId=752&cYear=2010","11","עירוני ר""ג","28","22","6","16","1703","1906","-203","77.4","86.6","11","3","8","852","957","77.5","87","11","3","8","851","949","77.4","86.3"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2010","http://www.basket.co.il/TeamPage.asp?TeamId=747&cYear=2010","12","ה. חולון","28","22","6","16","1690","1817","-127","76.8","82.6","11","4","7","825","871","75","79.2","11","2","9","865","946","78.6","86"
